,0,1,2,3,4
63.31658291457286,1.1547612791016552e-05,7.664845219493795e-09,7.095151454601505e-08,1.6839457652091926e-05,8.855722194138466e-08
63.5678391959799,1.4707378655130348e-05,1.462596778926253e-08,1.3137038257523657e-07,2.74043477224405e-05,2.3256348982456907e-07
63.81909547738694,1.8491444193524817e-05,2.8641216322611498e-08,2.385210313168415e-07,4.418041117797123e-05,6.087818251219108e-07
64.07035175879398,2.2962166952050767e-05,5.6990956735128655e-08,4.247345861982096e-07,7.055481410124726e-05,1.5787066928139929e-06
64.321608040201,2.817679553526686e-05,1.1409314939690933e-07,7.421021531782189e-07,0.00011166845149401125,4.029439071776243e-06
64.57286432160804,3.41864402108995e-05,2.2774680936115095e-07,1.273111707234138e-06,0.00017523785079488782,1.0058505880762928e-05
64.82412060301507,4.10362995695463e-05,4.4995702703967137e-07,2.146417438539496e-06,0.0002726109386834021,2.441212288297254e-05
65.07537688442211,4.8767830356967324e-05,8.749884783443731e-07,3.5600327919010536e-06,0.00041998098675437214,5.73021749555189e-05
65.32663316582915,5.742359866642401e-05,1.6684472175220119e-06,5.815139803511061e-06,0.000639581036268342,0.00012949258666199775
65.57788944723617,6.705549638532728e-05,3.1127833933253647e-06,9.364798011647569e-06,0.000960578266693192,0.0002806389706508256
65.82914572864321,7.773681874853605e-05,5.676877904506687e-06,1.4883001268784356e-05,0.0014193215812464007,0.000581424251891322
66.08040201005025,8.957836092572571e-05,1.0120672322376284e-05,2.3360534975690554e-05,0.0020586048375962063,0.0011485850856128657
66.33165829145729,0.00010274820398640628,1.7650559954027128e-05,3.623456921984759e-05,0.002925716180054559,0.002159169633014201
66.58291457286433,0.00011749424139527319,3.01479361557379e-05,5.555844850093052e-05,0.004069243614951616,0.0038566918374047156
66.83417085427135,0.0001341677742308672,5.0502265796722026e-05,8.421631542338965e-05,0.005534853740749956,0.006538816973619502
67.08542713567839,0.0001532456911666373,8.309125395369051e-05,0.00012618387870239357,0.007360481466685801,0.010516516752122623
67.33668341708542,0.00017534781827882953,0.00013446321001057447,0.00018683209557587315,0.009571487877111009,0.016040935402290075
67.58793969849246,0.00020124488932699052,0.00021428723894508485,0.0002732656522016546,0.012176317091158923,0.0232070116963886
67.8391959798995,0.00023185116345777508,0.0003366378997096803,0.0003946842421464393,0.015163027073439106,0.03185858691874555
68.09045226130652,0.00026819407049213576,0.0005216581074177627,0.0005627531265804438,0.01849686468439866,0.04153067421516757
68.34170854271356,0.00031135184862113167,0.0007975755063301136,0.0007919707854252119,0.02211891761676252,0.05146247555144077
68.5929648241206,0.0003623500105776169,0.0012029085586396427,0.0011000240390349073,0.025945896972622555,0.060696023132917484
68.84422110552764,0.0004220102755011873,0.0017884746275260478,0.0015081201868949168,0.029871288584924587,0.06824509418567248
69.09547738693468,0.0004907531073975574,0.002618519501448605,0.002041273799437115,0.033768346400485184,0.07329014297854154
69.3467336683417,0.0005683681191776642,0.0037699916881433555,0.0027284939870000314,0.03749549227159565,0.07534160902874722
69.59798994974875,0.0006537841051725766,0.005328803243970732,0.003602760396115111,0.040904453031327184,0.07432344773115065
69.84924623115577,0.0007448880631326208,0.007381999095659295,0.004700595692075548,0.043850860404560286,0.0705570413499873
70.10050251256281,0.0008384531968294902,0.01000523070809297,0.006060955929887609,0.04620621777861681,0.06465960925202417
